6 30
['0', '->', '5', ' price: ', '17']
['0', '->', '1', ' price: ', '2']
['0', '->', '2', ' price: ', '0']
['1', '->', '0', ' price: ', '17']
['1', '->', '3', ' price: ', '9']
['1', '->', '1', ' price: ', '6']
['1', '->', '4', ' price: ', '7']
['1', '->', '5', ' price: ', '18']
['2', '->', '2', ' price: ', '0']
['2', '->', '5', ' price: ', '15']
['2', '->', '1', ' price: ', '7']
['2', '->', '3', ' price: ', '16']
['2', '->', '4', ' price: ', '12']
['2', '->', '0', ' price: ', '17']
['3', '->', '1', ' price: ', '13']
['3', '->', '4', ' price: ', '15']
['3', '->', '5', ' price: ', '12']
['3', '->', '0', ' price: ', '19']
['3', '->', '2', ' price: ', '6']
['4', '->', '0', ' price: ', '1']
['4', '->', '1', ' price: ', '8']
['4', '->', '5', ' price: ', '12']
['4', '->', '3', ' price: ', '18']
['4', '->', '4', ' price: ', '13']
['4', '->', '2', ' price: ', '5']
['5', '->', '1', ' price: ', '1']
['5', '->', '0', ' price: ', '17']
['5', '->', '2', ' price: ', '4']
['5', '->', '4', ' price: ', '18']
['5', '->', '5', ' price: ', '9']
