0 -> 3 , price:  15
0 -> 1 , price:  6
0 -> 2 , price:  11
0 -> 0 , price:  0
0 -> 5 , price:  19
0 -> 4 , price:  7
1 -> 4 , price:  5
1 -> 5 , price:  5
1 -> 3 , price:  18
1 -> 0 , price:  11
1 -> 1 , price:  15
1 -> 2 , price:  12
2 -> 1 , price:  20
2 -> 4 , price:  19
2 -> 3 , price:  6
2 -> 0 , price:  3
2 -> 2 , price:  6
2 -> 5 , price:  8
3 -> 0 , price:  12
3 -> 2 , price:  17
3 -> 4 , price:  20
3 -> 3 , price:  8
3 -> 5 , price:  2
3 -> 1 , price:  9
4 -> 0 , price:  3
4 -> 4 , price:  16
4 -> 2 , price:  5
4 -> 3 , price:  8
4 -> 5 , price:  17
4 -> 1 , price:  0
5 -> 0 , price:  18
5 -> 1 , price:  3
5 -> 2 , price:  18
5 -> 4 , price:  9
5 -> 3 , price:  10
5 -> 5 , price:  19
